Name,Uid,Gid
nobody,99,99
vinclefi,128,1023
notes,134,150
stepflis,155,1002
franlafe,186,1002
sector,200,1019
testRSCT,202,1019
rsct,203,1019
ihmrsct,206,1019
opersct,207,1019
RSCT,208,1019
expersct,209,1019
cres,217,1015
livsnc,272,1002
robegonz,331,4006
tsnc,412,1002
nolog,1000,3
perte,1003,1011
gsr,1019,1022
pf_SNC,1021,1013
eurostag,1022,1014
philcarp,1023,1014
cn2i_rs,1026,1003
asdt,1027,1006
pladmBO,1028,1008
pluserBO,1029,1008
patrpanc,1030,1006
pldata,1031,1008
pladmex,1035,1008
pluserEX,1036,1008
solagatx,1039,1003
versanta,1043,10
jbapheyb,1044,1006
geofjamg,1045,1015
eode,1046,1025
rstn,1048,1026
rsctref,1053,1019
fabrguyx,1054,1032
ps_mat1,1055,1027
pladmbl,1056,1008
pluserbl,1057,1008
acct_ksh,1058,1008
pdundaut,1060,4006
philjust,1061,4001
sgepdma,1062,1028
berntalb,1063,1003
isabrena,1064,1029
samuscol,1065,1022
aclalege,1104,4006
fmaker,1105,501
cc_data,2083,1015
arcade,2089,1015
jjacjoua,2101,10
franlecu,3003,1006
pasctour,3004,1006
gamme,3006,1006
jmarmore,3008,1006
cft,3201,3200
devast2,4116,1006
astre,4123,1006
hervlefe,4202,1006
devast3,4203,1006
apostrsct,4208,1019
confrsct,4209,1019
fasrc,4212,1004
scada,4213,1004
gbo,4214,1004
jyb,4215,1004
mga,4216,1004
jma,4217,1004
fgu,4218,1004
macrez,4219,1004
asterx,4220,1004
favasrtr,4221,1004
favasret,4222,1004
favrt,4223,1004
emmaneau,4519,1001
metris,4521,1002
cresmed,4522,1021
guyxdela,4600,1003
bogdan,4620,1014
gaminteg,4622,1006
acct_csh,4623,10
jyvebour,4625,1003
anoncvs,4626,1018
mirelefe,4627,1022
sandalbo,4630,1008
olivdesp,4631,1008
simomore,4632,1006
fabrzaou,4634,1002
gamlivre,4661,1006
jyvebous,4800,1004
marcgali,4939,1006
hquintet,4940,1002
sebadoum,4960,1014
slimamar,4977,1022
franlong,32530,1003
lucasalu,32531,1003
brunlauz,32534,1003
platine,32535,1003
platine1,32536,1003
platine2,32537,1003
platine3,32538,1003
platine4,32539,1003
gabrbare,32540,1022
didicast,32559,1003
yacihass,32579,1006
platadm,32584,1003
arcmaint,32587,1015
ericbour,32588,1023
model,32596,1015
damiroux,40023,1015
gabrsime,40049,1002
benodelo,40052,1006
rsct2,40104,1014
esgass,40105,1012
smas3,40106,1014
asdt1,40107,1006
bogdmari,40108,1014
sideral,104,4017
andrgiar,40112,1014
ccarcade,50001,1015
ccprelud,50002,1008
ccactor,50003,1016
admincvs,50004,1018
ccmetris,50005,1007
briggest,55004,1008
sshd,55005,4002
adminasr,1070,1006
pldevps,1071,1008
chrilimo,4520,1001
test1,1076,1006
pieragac,1066,1023
antobene,1067,1020
asrplref,1078,1006
gamlivre2,1084,1006
asrpl1,1079,1006
asrpl2,1080,1006
hades,1081,1024
mattduss,1082,1006
chriloua,1072,1001
jlucnico,1087,10
davisimo,1088,1006
talbot,1089,1003
thibkett,1099,10
emmarogu,2002,1031
msopbala,2006,1006
olivbret,2008,1006
fabrduba,2001,1022
asrref,1102,1006
assess,1103,1012
niconoir,2009,1022
badimall,1108,1030
jmardebr,1109,1003
benobran,1110,1030
vincserm,1114,1014
luismbar,1117,1008
sebahenr,1118,1011
fbi,1119,1003
jeromacr,1120,1004
emmabern,1121,1014
oracle,1123,4003
mcocn2i,1125,1006
emelguiu,1126,1014
antares,1127,1001
jpierest,1128,10
marsi,1129,1003
marsi2,1130,1003
svnuser,3000,3000
yannphul,1131,1006
adminrpm,1132,1000
gwilpoul,1133,1006
lalaapoy,1134,1006
nicobieg,1111,4012
benjpeti,1113,1008
chricroc,1116,1008
yacichak,1122,1008
samiissa,1135,4007
thietang,1136,10
brundele,1137,1008
jacqbors,1138,1008
r4ca,1139,1022
sebapeti,1140,4016
guillapi,1142,1022
genesomm,1141,1008
cedrboud,1143,1003
gautplou,1144,4011
emilmili,1145,1006
jiaxkang,1146,3001
davichal,1147,10
mathdupu,1148,1002
thibprev,1149,1022
laurcast,1150,1022
convergence,1151,1022
jeanmaeg,1152,1022
modeles,1156,4008
ericmomo,1157,4006
admin,1155,10
sylvlecl,1158,1006
mathbagu,1159,1022
galibarb,1160,1002
pfesnc,1161,1011
arnacost,1162,1022
damigera,1163,4006
kemarahm,1153,10
romaverg,1124,1006
ftpsnc,1154,1011
remyclem,1164,1022
sylvdsus,1165,1011
angechie,1166,1014
jeanloge,1167,1006
jmarjans,1168,1006
michdoqu,1169,4006
cecidmon,1170,4006
brahbetr,1171,1003
xavilero,1172,1014
jerobarb,1174,10
mathdeff,1176,1022
hervwern,1175,10
nicoblan,1177,1022
alaifarg,1178,4012
shigzhux,1179,1002
bobxbell,1180,4012
laurdupr,1181,1022
marifunf,1182,1022
jmarcoul,1183,4012
